          A33          A34   15.20  154.00   -1.00    0.00    8.00    5.00    2.00  332.00    1.50
          A34          A35    6.00  133.00   -5.00    0.00    9.00    5.00    1.00  314.00    5.00
          A35          A36   13.50  160.00   -2.00    2.00    8.00    5.00    1.00  341.00    2.50
          A36          A37   10.10  118.00    4.00    1.00    9.00    6.00    1.00  296.50   -2.00
          A37          A38    5.20 -999.00  -90.00    1.00    4.00   11.00    1.00 -999.00 -999.00
          A38          A39    8.80  179.00    8.00    2.00   15.00    2.00    0.00  357.50   -7.00
          A39          A40    5.50  114.00   -1.00    1.00   14.00    1.00    3.00  295.00    1.00

Gillock's Cave or Devil's Backbone Cave
SURVEY NAME: 2
SURVEY DATE: 8 6 2000  COMMENT:Continue to End.
SURVEY TEAM:
Jon Schwer;Shane Fryer
DECLINATION: 0.00  FORMAT: DDDDLRUDLADadBT

FROM         TO           LEN     BEAR    INC     LEFT    UP      DOWN    RIGHT   AZM2    INC2    FLAGS COMMENTS

          A40          A41    1.50  171.00    1.50    1.00   12.00    1.00    2.00  352.00    0.00
          A41          A42    8.10  133.00   -3.50    0.00   12.00    1.00    1.00  311.00    3.50
          A42          A43    4.90  171.50   13.00    1.00   12.00    2.00    0.00  351.00  -13.00
          A43          A44   15.70  181.00   -2.50    0.00   12.00    1.00    1.00    1.50    3.50
          A44          A45    6.60  164.00    2.00    0.00   12.00    2.00    1.00  343.00   -1.00
          A45          A46    9.70  203.00    0.00    0.00   10.00    3.00    3.00   23.50    0.00
          A46          A47   11.70  214.00    3.50    0.00   12.00    4.00    2.00   34.00   -2.00
          A47          A48    7.90  187.00  -33.00    3.00   13.00    6.00    0.00    6.00   35.00
          A48          A49    3.60 -999.00  -90.00    3.00   10.00    3.00    0.00 -999.00 -999.00
          A49          A50    9.80  152.00  -34.00    0.00    3.00    8.00    3.00  330.50   34.00
          A50          A51    7.50 -999.00  -90.00    0.00   11.00    0.00    3.00 -999.00 -999.00
          A48          A52    8.20  145.00   27.00    0.50   11.00    2.00    1.00  326.00  -29.00
          A52          A53   22.10  200.00  -18.00    0.00   20.00    2.00    2.00   19.00   20.00
          A53          A54   10.00  214.50    9.00    1.00   20.00    3.00    1.00   33.00   -8.00
          A54          A55    5.60  203.00   16.00    3.00   20.00    3.00    0.50   21.00  -16.00
          A55          A56    4.80  232.00  -16.50    1.00    2.00    2.00    0.00   53.00   16.00
          A56          A57   19.00  168.00   -7.00    0.00    3.00    2.00    1.00  348.00    8.00
          A57          A58   15.00  144.00    5.00    0.00    2.00    2.00    1.00  324.00   -4.00
          A58          A59    1.50  197.00    0.00    0.00    2.00    2.00    1.00   17.00    0.00
          A59          A60    8.90  275.00   -4.00    1.00    2.00    2.00    0.00   94.00    5.00

Gillock's Cave or Devil's Backbone Cave
SURVEY NAME: 3
SURVEY DATE: 5 25 2015  COMMENT:The Windmaker and beyond
SURVEY TEAM:
Sean Lewis;Andy Edwars;Eric Frederickson;Ian Chechet;Chase Varner
DECLINATION: 0.00  FORMAT: DDDDLRUDLADadBT

FROM         TO           LEN     BEAR    INC     LEFT    UP      DOWN    RIGHT   AZM2    INC2    FLAGS COMMENTS

          A50           V1    4.20  191.50  -58.50    0.00    1.00    2.00    2.00   13.50   57.90
           V1           V2    8.50  242.50   -4.00    3.00    1.00    2.50    0.00   62.00    4.00
           V2           V3    9.70  171.00   -3.00    0.50    4.00    2.00    2.00  351.00    3.50
           V3           V4    9.00  200.00  -14.00    0.00    6.00    2.00    2.50   20.00   14.50
           V4           V5    8.40  232.00  -47.00    2.50   12.00    4.00    0.00   52.00   46.00
           V5           V6    7.20  159.00  -43.00    0.00   15.00    3.00    2.00  337.50   42.50
           V6           V7    8.70  209.50  -16.50    2.50   15.00    3.00    0.00   28.00   15.50
           V7           V8   11.90  168.00   -3.00    0.00   10.00    2.00    4.00  348.00    3.00
           V8           V9    4.20  244.00   27.00    3.00    8.00    2.00    0.00   64.00  -27.00
           V9          V10    7.50  145.00   41.00    1.00   12.00    2.00    2.00  324.50  -41.00
          V10          V11    7.60  205.50  -18.00    3.00   12.00    2.50    0.00   26.00   18.00
          V11          V12   10.20  160.00   -1.50    0.00    3.00    2.00    2.50  341.50    1.50
          V12          V13   12.40  241.00   -3.00    2.00    3.00    4.00    0.00   62.00    3.00
          V13          V14   18.60  206.00   -3.00    2.00    4.00    2.00    0.00   24.00    2.50
          V14         V14a   13.60    2.50  -40.50    0.00    4.00    3.00    2.00 -999.00 -999.00
          V14          V15    9.60  189.50   -4.50    0.00    6.00   15.00    8.00    9.00    4.50
          V15          V16   23.80  187.50  -54.50   20.00   45.00    5.00    0.00    8.50   55.00
          V16          V17   51.40   86.50   -0.50    6.00   40.00    5.00    5.00 -999.00 -999.00
          V16          V18   21.80   95.00    1.50    9.00   45.00    5.00   12.00  275.00   -2.00
          V18          V19   35.30  146.00    0.50    6.00   97.00    4.00    6.00  326.00   -0.50
          V16          V20   35.60  246.00    1.00   10.00   20.00    4.00   10.00   67.00   -1.00
          V20          V21   23.40   19.00    7.00    4.00   15.00    5.00    3.00 -999.00 -999.00
          V20          V22   34.30  173.00   -4.50    0.00   35.00    5.00    7.00 -999.00 -999.00
          V20          V23   13.10   56.50   -4.50   10.00   40.00    4.00   10.00  237.00    4.50
          V23          V24   39.00  256.00   15.00    2.00    5.00    2.00    0.00   76.50  -15.00
          V24          V25    6.90  229.00   26.50    1.00    6.00    4.00    1.00   48.00  -26.50
          V25          V26    6.40   99.00   64.50    0.00    3.00    3.00    1.00  279.00  -65.50
          V16          VA1   32.40  359.00    6.00    6.00    0.00    3.00    6.00  179.00   -6.00
          VA1          VA2   30.50   61.50   -0.50    6.00    1.00    1.00    0.00 -999.00 -999.00
          VA2          VA3   10.10   52.10    0.20    0.00    0.50    0.50    4.00 -999.00 -999.00

